product_title,category_label,number_of_views,merchant_rating,listing_date,title_word_count,title_char_count,longest_word_length
apple iphone 8 plus 64gb silver,Mobile Phones,860.0,2.5,2024-05-10,6,31,6
apple iphone 8 plus 64 gb spacegrau,Mobile Phones,3772.0,4.8,2024-12-31,7,35,9
apple mq8n2b/a iphone 8 plus 64gb 5.5 12mp sim free smartphone in gold,Mobile Phones,3092.0,3.9,2024-11-10,13,70,10
apple iphone 8 plus 64gb space grey,Mobile Phones,466.0,3.4,2022-05-02,7,35,6
apple iphone 8 plus gold 5.5 64gb 4g unlocked sim free,Mobile Phones,4426.0,1.6,2023-04-12,11,54,8
apple iphone 8 plus gold 5.5 64gb 4g unlocked sim free,Mobile Phones,3444.0,1.6,2022-11-27,11,54,8
apple iphone 8 plus 64 gb space grey,Mobile Phones,3171.0,1.2,2022-03-29,8,36,6
apple iphone 8 plus 64gb space grey,Mobile Phones,2919.0,4.5,2024-05-21,7,35,6
apple iphone 8 plus 64gb space grey,Mobile Phones,130.0,3.4,2022-05-11,7,35,6
apple iphone 8 plus 64gb space grey,Mobile Phones,1685.0,3.8,2024-02-09,7,35,6
apple iphone 8 plus 5.5 single sim 4g 64gb silver,Mobile Phones,769.0,1.1,2022-12-10,10,49,6
sim free iphone 8 plus 64gb by apple space grey,Mobile Phones,2391.0,4.9,2024-03-16,10,47,6
apple iphone 8 plus 64gb gold smartphone,Mobile Phones,2433.0,4.3,2023-01-21,7,40,10
apple iphone 8 plus 5.5 single sim 4g 64gb grey,Mobile Phones,1184.0,1.8,2024-08-13,10,47,6
apple iphone 8 plus silver 5.5 64gb 4g unlocked sim free,Mobile Phones,4555.0,1.7,2022-10-04,11,56,8
apple iphone 8 plus 64 gb silver,Mobile Phones,3385.0,1.7,2023-04-05,7,32,6
apple iphone 8 plus 64gb silver unlocked,Mobile Phones,4117.0,2.2,2022-01-22,7,40,8
apple iphone 8 plus 14 cm 5.5 64 gb 12 mp ios 11 silver,Mobile Phones,4843.0,3.1,2022-09-10,14,55,6
iphone 8 plus sim free water dust resistant 64gb silver by apple,Mobile Phones,2904.0,2.7,2024-01-18,12,64,9
iphone 8 plus 64gb space grey,Mobile Phones,474.0,2.2,2024-05-06,6,29,6
apple iphone 8 plus,Mobile Phones,1082.0,3.4,2023-04-20,4,19,6
sim free iphone 8 plus 64gb mobile phone space grey,Mobile Phones,2558.0,1.6,2024-12-18,10,51,6
apple mq8m2b/a 5.5 iphone 8 plus 64gb silver in stock uk spec stock,Mobile Phones,2047.0,2.2,2023-05-26,13,67,8
apple mnqq2b/a iphone 7 plus 32gb 5.5 12mp sim free smartphone in rose gold,Mobile Phones,2747.0,2.5,2023-12-01,14,75,10
